,context,ut,bt,bt_plus_1,diff,related_placeholders
0, A:Hi There! What types of movies do you like to watch?,Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie.,"['[MOVIE_GENRE_2]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_2]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_2]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_2]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_2]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']"
1, A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2],I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it.,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]']",['[MOVIE_P_ACTOR_0]'],['[MOVIE_P_ACTOR_0]']
2, A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2] B:I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it. A:It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see [MOVIE_P_ACTOR_0] the trailer!,Maybe with [MOVIE_P_ACTOR_0] it it'll be easier to convince my fiance to see it. Do you know who else is in the cast?,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_P_ACTOR_2]', '[MOVIE_P_ACTOR_1]']"
3, A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2] B:I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it. A:It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see [MOVIE_P_ACTOR_0] the trailer! B:Maybe with [MOVIE_P_ACTOR_0] it it'll be easier to convince my fiance to see it. Do you know who else is in the cast? A:[MOVIE_P_ACTOR_1] [MOVIE_P_ACTOR_2] also in the cast. [MOVIE_P_ACTOR_1] a lot of 007 so definitely a good hearthrob role to convince the misses lol!,[MOVIE_TITLE_2] But he loves the bond movies so that should be a good incentive for him to go see it. Do you have any other recommendations?,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']",[],['[MOVIE_TITLE_3]']
4," A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2] B:I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it. A:It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see [MOVIE_P_ACTOR_0] the trailer! B:Maybe with [MOVIE_P_ACTOR_0] it it'll be easier to convince my fiance to see it. Do you know who else is in the cast? A:[MOVIE_P_ACTOR_1] [MOVIE_P_ACTOR_2] also in the cast. [MOVIE_P_ACTOR_1] a lot of 007 so definitely a good hearthrob role to convince the misses lol! B:[MOVIE_TITLE_2] But he loves the bond movies so that should be a good incentive for him to go see it. Do you have any other recommendations? A:The new [MOVIE_TITLE_3] comes out in less than a month, if you are into the franchise.","He is, I think he told me we're getting it when it comes out to add to our movie collection.","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_TITLE_1]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_4]']"
5," A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2] B:I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it. A:It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see [MOVIE_P_ACTOR_0] the trailer! B:Maybe with [MOVIE_P_ACTOR_0] it it'll be easier to convince my fiance to see it. Do you know who else is in the cast? A:[MOVIE_P_ACTOR_1] [MOVIE_P_ACTOR_2] also in the cast. [MOVIE_P_ACTOR_1] a lot of 007 so definitely a good hearthrob role to convince the misses lol! B:[MOVIE_TITLE_2] But he loves the bond movies so that should be a good incentive for him to go see it. Do you have any other recommendations? A:The new [MOVIE_TITLE_3] comes out in less than a month, if you are into the franchise. B:He is, I think he told me we're getting it when it comes out to add to our movie collection. A:Well that is another great [MOVIE_GENRE_0] movie. I also recommend the [MOVIE_TITLE_4] series",I haven't seen any of that series. Could you tell me what the general plot is>,"['[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']",[],['[MOVIE_GENRE_0]']
6," A:Hi There! What types of movies do you like to watch? B:Hello! I'm more of an [MOVIE_GENRE_0] movie or a good [MOVIE_GENRE_1] and [MOVIE_GENRE_2] movie. A:I just saw the trailer for [MOVIE_TITLE_0] when I went to see Joker and it looked like a good mix of [MOVIE_GENRE_0] and [MOVIE_GENRE_2] B:I seen that one too as I seen [MOVIE_TITLE_1] about a month ago. I thought about asking my fiance about going and seeing it. A:It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see [MOVIE_P_ACTOR_0] the trailer! B:Maybe with [MOVIE_P_ACTOR_0] it it'll be easier to convince my fiance to see it. Do you know who else is in the cast? A:[MOVIE_P_ACTOR_1] [MOVIE_P_ACTOR_2] also in the cast. [MOVIE_P_ACTOR_1] a lot of 007 so definitely a good hearthrob role to convince the misses lol! B:[MOVIE_TITLE_2] But he loves the bond movies so that should be a good incentive for him to go see it. Do you have any other recommendations? A:The new [MOVIE_TITLE_3] comes out in less than a month, if you are into the franchise. B:He is, I think he told me we're getting it when it comes out to add to our movie collection. A:Well that is another great [MOVIE_GENRE_0] movie. I also recommend the [MOVIE_TITLE_4] series B:I haven't seen any of that series. Could you tell me what the general plot is> A:[MOVIE_PLOT] [MOVIE_PLOT] [MOVIE_PLOT] I have yet to watch the 3rd one but the [MOVIE_GENRE_0] scenes were really cool! B:Oh I'd definitely would cry at the dogs death. A:It is really sad! the dog was a last gift from his dying wife which makes it so much worse",I couldn't even finish [MOVIE_TITLE_5] because of the dog dying. Anything with animal death makes me ball like a baby.,"['[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']","['[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_1]', '[MOVIE_P_ACTOR_1]']",[],['[MOVIE_TITLE_6]']
7, A:Hello how are you today?,"I'm well, thanks",[],[],[],[]
8, A:Hi! How's it going today,Good how are you?,[],[],[],[]
9, A:Hi! How's it going today B:Good how are you? A:I'm good! Kind of lazy on this Sunday,Still Saturday here! What movies did you see lately?,[],[],[],"['[MOVIE_TITLE_3]', '[MOVIE_TITLE_0]']"
